"key","en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb"
"All items from the wishlist added to the cart","All items from the wishlist added to the cart","Alle items uit de wishlist toegevoegd aan de winkelwagen","Todos los elementos de la lista de deseos añadidos a la cesta","所有的愿望清单中的项目添加到购物车","Alle Artikel des Merk in den Warenkorb gelegt","Tous les articles de la liste ajouté au panier","Tutti gli elementi dalla lista dei desideri aggiunti al carrello","Todos os itens da lista adicionados ao carrinho","Όλα τα στοιχεία από τη λίστα με τα επιθυμητά προστεθεί στο καλάθι","Wszystkie pozycje z listy życzeń dodane do koszyka","Alle elementer fra ønskeliste lægges til vognen","Kaikki kohteet listaasi lisätty ostoskoriin","Alle elementer fra ønskelisten lagt til handlevognen","كافة العناصر من مفضلة إضافة إلى العربة","위시리스트에서 모든 항목이 장바구니에 추가","ウィッシュリストからすべての項目は、カートに追加","כל הפריטים מהרשימה 'אני רוצה להוסיף לעגלה","Alla objekt från önskelistan tillagd i varukorgen","Všechny položky z seznamu přání přidat do košíku","Все детали от пожеланий добавлен в корзину","Lahat ng mga item mula sa listahan ng mga gusto naidagdag sa cart","Ang tanan nga mga butang nga gikan sa wishlist gidugang ngadto sa carromata"
"Browser info not located","Browser info not located","Browser info niet gelegen","Info navegador no se encuentra","浏览器信息不在","Browser Info nicht gefunden","Info navigateur ne se trouve pas","Info Browser non si trova","Informação navegador não localizado","Πληροφορίες Browser δεν βρίσκεται","Informacje przeglądarka nie znajduje","Browser info ikke placeret","Selain info ei sijaitse","Nettleseren info ikke ligger","معلومات المتصفح لا تقع","브라우저 정보에 있지","ブラウザの情報が配置されていません","מידע דפדפן לא ממוקם","Webbläsare information inte finns","Prohlížeč info není umístěn","Браузер Информация не находится","Hindi matatagpuan info Browser","Browser info wala nahimutang"
"Confirmation code is not correct","Confirmation code is not correct","Bevestigingscode is niet correct","Código de confirmación no es correcto","验证码不正确","Bestätigungscode ist nicht korrekt","Code de confirmation est pas correcte","Codice di conferma non è corretto","Código de confirmação não é correto","Κωδικός επιβεβαίωσης δεν είναι σωστό","Kod potwierdzenia nie jest poprawna","Bekræftelseskode er ikke korrekt","Vahvistus koodi ei ole oikea","Bekreftelseskode er ikke riktig","رمز التأكيد غير صحيح","확인 코드가 올바르지 않습니다","確認コードが正しくありません","קוד אישור אינו נכון","Bekräftelsekod är inte korrekt","Potvrzovací kód není správný","Код подтверждения не правильно","Confirmation code ay hindi tama","Pagkumpirma code dili husto"
"Could not create sitemap file","Could not create sitemap file","Kon sitemap bestand maken","No se pudo crear el archivo de mapa del sitio","无法创建sitemap文件","Sitemap-Datei konnte nicht erstellt werden","Impossible de créer le fichier sitemap","Impossibile creare il file sitemap","Não foi possível criar arquivo Sitemap","Δεν ήταν δυνατή η δημιουργία αρχείου sitemap","Nie można utworzyć sitemap pliku","Kunne ikke oprette Sitemap fil","Ei voinut luoda sivustokarttatiedoston","Kunne ikke opprette sitemap fil","لا يمكن إنشاء ملف خريطة الموقع","사이트 맵 파일을 생성 할 수 없습니다","サイトマップファイルを作成できませんでした","לא ניתן ליצור קובץ מפת אתר","Det gick inte att skapa sitemap fil","Nelze vytvořit sitemap soubor","Не удалось создать файл карты сайта","Hindi makalikha ng sitemap file","Dili paghimo sitemap file"
"Customer information changed","Customer information changed","Klantinformatie veranderd","Información del cliente cambió","客户信息变更","Kundeninformationen verändert","Informations client a changé","Informazioni per il cliente è cambiato","Informações sobre o cliente mudou","Πληροφορίες Πελάτη άλλαξε","Informacje dla klientów zmieniło","Kundeoplysninger ændret","Asiakastiedot muuttuneet","Kundeinformasjon endret","تغيرت معلومات العملاء","고객 정보는 변경","顧客情報は変更します","מידע על לקוחות השתנה","Kundinformation ändrats","Informace pro zákazníky změnil","Информация для клиентов изменились","Customer impormasyon ay nagbago","Customer nga impormasyon nausab"
"Customer is not known,  or not logged in","Customer is not known,  or not logged in","Klant is niet bekend of niet ingelogd","El cliente no se conoce o no se ha identificado","客户不知道，或者没有登录","Kunde ist nicht bekannt oder nicht angemeldet","Client ne sait pas, ou pas connecté","Il Cliente non è noto,  o non connesso","Cliente não é conhecida,  ou não logado","Ο πελάτης δεν είναι γνωστή ή δεν έχετε συνδεθεί","Klient nie wiadomo,  czy nie zalogowany ","Kunden er ikke kendt,  eller ikke logget ind","Asiakas ei tiedetä tai ole kirjautunut sisään","Kunden er ikke kjent,  eller ikke logget inn","العميل لا يعرف، أو لم تقم بتسجيل الدخول","고객은 알 수없는,  또는 로그인하지 않은","お客様は知られていない、またはログインしていません","לקוחות אינו ידועים,  או לא מחוברים","Kunden är inte känd,  eller inte inloggad","Zákazník není známa nebo není přihlášen","Клиент не известно,  или не вошли в","Customer ay hindi kilala,  o hindi naka-log in","Customer wala hiilhi,  o dili Logged sa"
"Customer is not known  ,or not logged in","Customer is not known  ,or not logged in","Klant is niet bekend of niet ingelogd","El cliente no se conoce o no se ha identificado","客户不知道，或者没有登录","Kunde ist nicht bekannt oder nicht angemeldet","Client ne sait pas, ou pas connecté","Il Cliente non è noto,  o non connesso","Cliente não é conhecida,  ou não logado","Ο πελάτης δεν είναι γνωστή ή δεν έχετε συνδεθεί","Klient nie wiadomo,  czy nie zalogowany ","Kunden er ikke kendt,  eller ikke logget ind","Asiakas ei tiedetä tai ole kirjautunut sisään","Kunden er ikke kjent,  eller ikke logget inn","العميل لا يعرف، أو لم تقم بتسجيل الدخول","고객은 알 수없는,  또는 로그인하지 않은","お客様は知られていない、またはログインしていません","לקוחות אינו ידועים,  או לא מחוברים","Kunden är inte känd,  eller inte inloggad","Zákazník není známa nebo není přihlášen","Клиент не известно,  или не вошли в","Customer ay hindi kilala,  o hindi naka-log in","Customer wala hiilhi,  o dili Logged sa"
"Customer no longer exists,  or customer id/username is invalid","Customer no longer exists,  or customer id/username is invalid","De klant niet meer bestaat,  of de klant id / gebruikersnaam is ongeldig","Cliente ya no existe,  o Identificación del cliente / usuario no es válido","客户不再存在，或者客户ID /用户名无效","Kunden gibt es nicht mehr oder Kundennummer / username ist ungültig","Client ne existe plus,  ou l'identifiant du client / nom d'utilisateur est invalide","Cliente non esiste più,  o codice cliente / username non è valido","Cliente não existir mais,  ou ID do cliente / usuário é inválido","Πελάτης δεν υφίσταται πλέον,  ή το αναγνωριστικό πελάτη / όνομα δεν είναι έγκυρο","Klient już nie istnieje,  lub identyfikator klienta / nazwa użytkownika jest nieprawidłowa","Ikke længere eksisterer kunde,  eller kunde-id / brugernavn er ugyldig","Asiakas ei enää ole,  tai Asiakastunnus / käyttäjätunnus on virheellinen","Kunde ikke lenger eksisterer,  eller kunde id / brukernavn er ugyldig","لم يعد العميل موجودا، أو قيمة id العملاء / اسم المستخدم غير صالح","고객은 더 이상 존재하지 않습니다,  또는 고객 ID는 / 사용자 이름이 잘못되었습니다","お客様は、もはや存在しない、または顧客ID /ユーザー名が無効です","לקוחות כבר לא קיימים,  או זיהוי לקוח / שם המשתמש אינו חוקי","Kunden inte längre existerar,  eller kundnummer / användarnamn är ogiltigt","Zákazník již neexistuje,  nebo číslo zákazníka / uživatelské jméno je neplatné","Не клиентов больше не существует,  или клиент ID / имя пользователя является недействительным","Hindi na umiiral ang Customer,  o id ng customer / username ay hindi wasto","Customer wala na anaa,  o customer id / username mao ang walay pulos"
"Discount coupon code invalid","Discount coupon code invalid","Kortingscoupon code ongeldig","Promocional Código promocional no válido","折扣优惠券代码无效","Couponcode ungültig","Remise de code promo valide","Coupon di sconto valido","Discount código de cupom inválido","Κωδικός εκπτωτικού κουπονιού άκυρο","Rabat kupon nieważny","Rabat kupon kode ugyldig","Alennus kuponkikoodi kelpaa","Rabattkupongkode ugyldig","خصم رمز القسيمة غير صالحة","할인 쿠폰 코드 무효","無効な割引クーポンコード","לא חוקי קוד קופון הנחה","Rabattkupong kod ogiltig","Slevový kupón kód neplatný","Скидка по купону некорректный код","Discount mga di-wastong code ng kupon","Discount kupon code nga walay pulos"
"Discount coupon code removed","Discount coupon code removed","Kortingscoupon code verwijderd","Código de cupón de descuento retira","折扣优惠券代码删除","Couponcode entfernt","Code promo Remise retiré","Codice coupon di sconto rimosso","Código de cupom de desconto removido","Κωδικό του κουπονιού αφαιρείται","Rabat kupon usunięta","Rabat kuponkode fjernet","Alennus kuponkikoodi poistettu","Rabattkupongkode fjernet","رمز القسيمة خصم إزالة","할인 쿠폰 코드 제거","割引クーポンコード削除","קוד קופון הנחה הוסר","Rabattkupong kod bort","Slevový kupón Kód odstraněn","Скидка по купону код удалены","Dahil Discount coupon code","Discount kupon code gikuha"
"Discount coupon code set for ","Discount coupon code set for ","Kortingscoupon code instellen voor","Código de cupón de descuento establecido para","折扣优惠券代码设置","Couponcode für setzen","Code promo Remise fixé pour","Codice coupon di sconto fissato per","Código de cupom de desconto definido para","Κωδικός εκπτωτικού κουπονιού που καθορίζονται για","Rabat kupon ustawiony na","Rabat kupon kode indstillet til","Alennus kuponkikoodi asetettu","Rabattkupongkode satt for","رمز القسيمة الخصم المحدد ل","할인 쿠폰 코드 설정","割引クーポンコードに設定","קוד קופון הנחה נקבע ל","Rabattkupong koduppsättning för","Slevový kupón kód nastaven na","Скидка по купону код устанавливается для","Discount coupon code na itinakda para sa","Discount kupon code alang sa"
"E-Mail address is not valid","E-Mail address is not valid","E-mail adres is niet geldig","La dirección de correo electrónico es inválida","电子邮件地址无效","Email Adresse ist nicht gültig","Adresse e-mail est pas valable","Indirizzo email non valido","O endereço de e-mail não é válido","Διεύθυνση E-Mail δεν είναι έγκυρη","Adres e-mail jest nieprawidłowy","E-mail-adresse er ikke gyldig","Sähköpostiosoite ei kelpaa","E-post adressen er ikke gyldig","عنوان البريد الإلكتروني غير صالح","전자 메일 주소가 유효하지 않습니다","メールアドレスが有効ではありません","כתובת דואר האלקטרוני אינה חוקית","E-postadressen är inte giltig","E-mailová adresa není platná","Адрес электронной почты не является действительным","E-Mail address ay hindi wasto","E-Mail address mao ang dili tinuod"
"For this product '%1', there are only %2 items left. Please order not more ten this for now...","For this product '%1', there are only %2 items left. Please order not more ten this for now...","Voor dit product '%1', zijn er slechts 2% items achtergelaten. Gelieve niet meer tien dit voor nu bestellen …","Para este producto '%1',  sólo hay%2 artículos fueron. Por favor,  para no más de diez esto por ahora …","对于这款产品“％1”，只有2％的物品离开。请订购不超过10本，现在...","Für dieses Produkt '%1', gibt es nur%2 Einheiten verfügbar. Bitte nicht mehr zehn dies für jetzt bestellen …","Pour ce produit '%1',  il n'y a que 2% objets laissés. S'il vous plaît pas commander plus de dix présent pour l'instant …","Per questo prodotto '%1',  ci sono solo 2% oggetti lasciati. Si prega di ordinare,  non più di dieci questo per ora …","Para este produto '%1',  há apenas 2% itens à esquerda. Por favor,  ordem não mais de dez isso por enquanto …","Για αυτό το προϊόν '%1',  υπάρχουν μόνο 2% αντικείμενα αριστερά. Μπορείτε να παραγγείλετε όχι περισσότερο από δέκα αυτό για την ώρα …","Dla tego produktu '%1',  są tylko%2 pozycji w lewo. Proszę zamówić nie więcej dziesięć to na razie …","Til dette produkt '%1',  er der kun%2 artikler forlod. Bestil venligst ikke mere ti dette for nu …","Tämän tuotteen %1,  on vain%2 kohdetta jäljellä. Tilaa ei enää kymmentä tätä nyt …","For dette produktet '%1',  det er bare%2 elementer igjen. Vennligst bestille ikke mer ten dette for nå …","لهذا المنتج '٪ 1'، وهناك 2٪ فقط البنود غادرت. يرجى النظام لا أكثر عشرة هذا الآن ...","이 제품에 '%1'의 경우 ,  2 항목 밖에 남지 %가 있습니다. 지금은 열이없는 이상 주문하세요 …","この製品 '％1'の場合、残された唯一の％2の項目があります。今のところそれ以上ではない10本を注文してください...","למוצר זה '%1',  יש רק%2 פריטים עזבו. נא להזמין לא יותר עשרה זה לעת עתה …","För denna produkt '%1',  det finns bara%2 objekt kvar. Beställ högst tio detta för nu …","Pro tento výrobek '%1',  tam jsou jen 2% položky odešel. Objednávejte prosím ne více ten to pro teď …","Для этого продукта %1,  есть только% левый 2 шт. Пожалуйста,   не заказать более десяти это сейчас …","Para sa produktong ito '%1',  may mga lamang ng 2% ng mga item na natitira. Mangyaring mag-order ng hindi hihigit sa sampung ito sa ngayon …","Kay niini nga produkto '%1',  adunay mga lamang%2 butang mibiya. Palihug order dili labaw sa napulo ka niini alang sa karon …"
"Guests are not allowed to submit a review","Guests are not allowed to submit a review","Gasten zijn niet toegestaan ​​om een ​​beoordeling indienen","Visitantes no pueden enviar una reseña","客人是不允许提交评论","Die Gäste sind nicht erlaubt,  um eine Bewertung abgeben","Les clients ne sont pas autorisés à soumettre une critique","Gli ospiti non sono autorizzati a inserire un commento","Não são permitidos para enviar uma crítica","Οι επισκέπτες δεν επιτρέπεται να υποβάλει μια κριτική","Goście nie mogą złożyć opinię","Gæster har ikke tilladelse til at skrive en anmeldelse","Vieraat eivät voi lähettää arvostelun","Gjester har ikke lov til å sende inn en anmeldelse","لا يسمح للضيوف لتقديم مراجعة","투숙객 리뷰를 제출할 수 없습니다","ご宿泊のお客様は、レビューを提出することはできません","אורחים אינם מורשים לשלוח ביקורת","Gästerna får inte skicka in en recension","Host nemá oprávnění předkládat recenzi","Гость не имеет права,  чтобы представить обзор","Guests ay hindi pinahihintulutan na magsumite ng isang review","Guests dili tugotan sa pagsumiter sa usa ka review"
"Guests are not allowed to subscribe to newsletters","Guests are not allowed to subscribe to newsletters","Gasten zijn niet toegestaan ​​te abonneren op nieuwsbrieven","Visitantes no pueden suscribirse a boletines de noticias","客人不准订阅电子报","Die Gäste sind nicht erlaubt,  um den Newsletter zu abonnieren","Les clients ne sont pas autorisés à souscrire à des bulletins d'information","Gli ospiti non sono autorizzati a iscriversi alla newsletter","Não são permitidos visitantes para se inscrever em boletins","Οι επισκέπτες δεν επιτρέπεται να εγγραφείτε σε ενημερωτικά δελτία","Goście nie mogą zapisać się do newslettera","Gæster har ikke tilladelse til at abonnere på nyhedsbreve","Vieraat eivät voi tilata uutiskirjeitä","Gjester har ikke lov til å abonnere på nyhetsbrev","لا يسمح للضيوف الاشتراك في النشرات الإخبارية","손님이 뉴스 레터에 가입 할 수 없습니다","ご宿泊のお客様は、ニュースレターを購読することができません","אורחים אינם מורשים להירשם לעלונים","Gästerna får inte prenumerera på nyhetsbrev","Host nemá oprávnění přihlásit se k odběru bulletinů","Гость не имеет права для подписки на рассылку","Guests ay hindi pinapayagan na mag-subscribe sa newsletter","Guests dili tugotan nga subscribe sa Newsletter"
"Guests are not allowed to tag products","Guests are not allowed to tag products","Gasten mogen geen producten taggen","Visitantes no pueden etiquetar productos","客人不准标签产品","Die Gäste sind nicht erlaubt,  Produkte zu markieren","Les clients ne sont pas autorisés à étiqueter les produits","Gli ospiti non sono autorizzati a etichettare i prodotti","Não são permitidos visitantes para marcar produtos","Οι επισκέπτες δεν επιτρέπεται να επισημάνετε τα προϊόντα","Goście nie mogą oznaczać produkty","Gæster har ikke tilladelse til at tagge produkter","Vieraat eivät voi koodata tuotteita","Gjester har ikke lov til å tagge produkter","لا يسمح للضيوف لعلامة المنتجات","손님은 제품에 태그를 할 수 없습니다","ご宿泊のお客様は、製品をタグ付けすることはできません","אורחים אינם מורשים לתייג מוצרים","Gästerna får inte märka produkter","Hosté jsou není dovoleno označit produkty","Гость не имеет права маркировать продукцию","Guests ay hindi pinahihintulutan na i-tag ang mga produkto","Guests dili tugotan nga tag mga produkto"
"Guests are not allowed to vote","Guests are not allowed to vote","Gasten zijn niet toegestaan ​​om te stemmen","Los invitados no se les permite votar","客人不准投票","Die Gäste sind nicht erlaubt zu wählen","Les clients ne sont pas autorisés à voter","Gli ospiti non sono autorizzati a votare","Não são permitidos visitantes para votar","Οι επισκέπτες δεν επιτρέπεται να ψηφίσουν","Goście nie mogą głosować","Gæster har ikke lov til at stemme","Vieraat eivät voi äänestää","Gjester har ikke lov til å stemme","لا يسمح للزوار للتصويت","손님은 투표 할 수 없습니다","ご宿泊のお客様は、投票することを許可されていません","אורחים אינם מורשים להצביע","Gästerna får inte rösta","Hosté jsou není dovoleno hlasovat","Гости не могут голосовать","Guests ay hindi pinapayagang bumoto","Guests dili tugotan sa pagbotar"
"Item(s) could not be added to the cart","Item(s) could not be added to the cart","Item (s) kon niet worden toegevoegd aan de winkelwagen","Artículo (s) no se puede añadir a la cesta","项目（S）不能被添加到购物车","Produkt (e) konnte nicht in den Warenkorb gelegt werden","Point (s) ne pouvait pas être ajouté au panier","Prodotto (s) non può essere aggiunto al carrello","Item (s) não pôde ser adicionados ao carrinho","Αντικείμενο (α) δεν θα μπορούσε να προστεθεί στο καλάθι","Element (y) nie mogą być dodane do koszyka","Vare (r) kunne ikke lægges til vognen","Tuote (t) ei voitu lisätä ostoskoriin","Varen (e) kunne ikke legges til handlevognen","البند (ق) لا يمكن أن تضاف إلى العربة","항목 (들)을 장바구니에 추가 할 수 없습니다","項目（複数可）をカートに追加することができませんでした","פריט (ים) לא ניתן להוסיף לעגלה","Produkt (er) kunde inte läggas till vagnen","Položka (y),  nebylo možné přidat do košíku","Товар (ы) не может быть добавлен в корзину","Item (s) ay hindi maaaring maidagdag sa mga cart","Item (mga) dili gidugang ngadto sa carromata"
"Login name or password not correct","Login name or password not correct","Login of wachtwoord niet correct","Nombre de usuario o contraseña no es correcta","登录名或密码不正确","Anmeldename oder Passwort nicht korrekt","Nom ou mot de passe incorrect Connexion","Nome utente o password non corretta","Nome de login ou senha não é correto","Είσοδος όνομα ή τον κωδικό πρόσβασης δεν είναι σωστή","Zaloguj nazwa lub hasło nie są poprawne","Login eller password ikke korrekt","Käyttäjätunnus tai salasana ei ole oikein","Påloggingsnavn eller passord ikke korrekt","اسم الدخول أو كلمة المرور غير صحيحة","로그인 이름이나 올바르지 않은 암호","ログイン名またはパスワードが正しくありません","שם כניסה או סיסמא לא נכונה","Inloggningsnamn eller lösenord felaktigt","Přihlašovací jméno nebo heslo není správné","Войти имя или пароль не правильный","Pangalan ng Mag-login o hindi tamang password","Login ngalan o password nga dili husto"
"Module not available or not configured","Module not available or not configured","Module niet beschikbaar is of niet geconfigureerd","Módulo no disponible o no está configurada","模块无法使用或未配置","Modul nicht vorhanden oder nicht konfiguriert","Module pas disponible ou non configuré","Modulo non disponibile o non è configurata","Módulo não está disponível ou não configurado","Ενότητα δεν είναι διαθέσιμη ή δεν έχει ρυθμιστεί","Moduł nie jest dostępna lub nie jest skonfigurowany","Modul ikke til rådighed eller ikke er konfigureret","Moduuli ole saatavilla tai sitä ei ole määritetty","Modul ikke er tilgjengelig eller ikke konfigurert","وحدة غير متوفرة أو غير تكوين","모듈을 사용할 수 없습니다 또는 구성되지","モジュール使用できないか、設定されていません","מודול לא זמין או לא מוגדר","Modul inte tillgänglig eller inte konfigurerad","Modul není k dispozici nebo není nakonfigurován","Модуль не доступен или не настроен","Hindi magagamit o hindi na-configure Module","Module dili magamit o dili gihulma,  giporma"
"Name is not valid","Name is not valid","De naam is niet geldig","El nombre no es válido","名无效","Name ist ungültig","Nom est pas valable","Il nome non è valido","Nome não é válido","Το όνομα δεν είναι έγκυρο","Nazwa nie jest ważny","Navn er ikke gyldig","Nimi ei kelpaa","Navnet er ikke gyldig","اسم غير صالح","이름이 유효하지 않습니다","名前は有効ではありません","שם אינו חוקי","Namn är inte giltigt","Název není platný","Имя не является допустимым","Pangalan ay hindi wasto","Ngalan nga dili tinuod"
"NO ratings added","NO ratings added","Geen beoordelingen","Ninguna valoración añadido","增加无评分","Keine Kunderbewertungen","Aucun classement ajoutés","Nessuna classificazione aggiunti","Nenhuma classificação adicionada","Δεν υπάρχουν αξιολογήσεις προστέθηκε","Brak ocen dodany","Ingen bedømmelser tilføjet","Ei arvosteluita lisätty","Ingen stemmer lagt","NO تصنيفات","평가 없음 추가되지","評価なしは追加されません","אין דירוגים הוסיפו","Inga betyg tillagda","Žádná hodnocení přidané","Нет оценок не добавлено","NO ratings idinagdag","WALAY ratings dugang pa"
"Not all required attributes are filled or selected","Not all required attributes are filled or selected","Niet alle vereiste kenmerken gevuld of geselecteerd","No todos los atributos necesarios están llenos o seleccionados","并非所有必需的属性被填充或选择","Nicht alle erforderlichen Attribute sind ausgefüllt oder ausgewählt","Pas tous les attributs requis sont remplis ou sélectionnés","Non tutti gli attributi richiesti sono riempiti o selezionati","Nem todos os atributos necessários são preenchidos ou selecionados","Δεν είναι όλα τα απαιτούμενα χαρακτηριστικά γεμίσει ή να επιλεγεί","Nie wszystkie wymagane atrybuty są wypełnione lub wybrane","Ikke alle påkrævede attributter er fyldt eller valgt","Ei kaikki tarvittavat ominaisuudet ovat täynnä tai valittu","Ikke alle nødvendige attributtene er fylt eller valgt","لا يتم شغل كل الصفات المطلوبة، أو في المختارة","모든 필수 속성을 작성 또는 선택하지 않음","必要なすべての属性が満たされるか、または選択されるわけではありません","לא כל התכונות הדרושות מלאות או נבחרו","Inte alla nödvändiga attribut fyllas i eller valt","Ne všechny požadované atributy jsou vyplněn nebo vybrané","Не все обязательные атрибуты заполнены или выбран","Hindi lahat ng kinakailangang mga katangian ay puno na o napiling","Dili tanan gikinahanglan hiyas napuno o pinili nga"
"Not all required options are filled or selected","Not all required options are filled or selected","Niet alle gewenste opties zijn gevuld of geselecteerd","No todas las opciones necesarias están llenos o seleccionados","并非所有必需的选项填充或选择","Nicht alle erforderlichen Optionen sind ausgefüllt oder ausgewählt","Pas toutes les options nécessaires sont remplies ou sélectionnés","Non tutte le opzioni necessarie sono pieni o selezionati","Nem todas as opções necessárias estão cheios ou selecionados","Δεν είναι όλες οι απαιτούμενες επιλογές γεμίσει ή να επιλεγεί","Nie wszystkie wymagane opcje są wypełnione lub wybrane","Ikke alle ønskede indstillinger er fyldt eller valgt","Ei kaikki tarvittavat vaihtoehdot täytettävä tai valittu","Ikke alle nødvendige alternativer er ut eller valgt","لا يتم شغل جميع الخيارات المطلوبة، أو في المختارة","필요한 모든 옵션은 작성 또는 선택하지 않음","必要なすべてのオプションが満たされるか、または選択されるわけではありません","לא כל האפשרויות הנדרשות מלאות או נבחרו","Inte alla nödvändiga alternativ fyllas i eller valt","Ne všechny požadované možnosti jsou vyplněn nebo vybrané","Не все требуемые параметры заполнены или выбран","Hindi lahat ng kinakailangang mga pagpipilian ay puno na o napiling","Dili tanan gikinahanglan nga mga kapilian napuno o pinili nga"
"Not logged in  or no customer information available","Not logged in  or no customer information available","Niet ingelogd,  of geen informatie over klanten beschikbaar","No registrar,  o ninguna información al cliente disponible","未登录，或者没有可用的客户资料","Nicht angemeldet,  oder keine Kundeninformationen zur Verfügung","Non connecté,  ou pas d'information à la clientèle disponible","Non sei loggato,  o nessuna informazione del cliente disponibile","Não está logado,  ou nenhuma informação ao cliente disponível","Δεν έχετε συνδεθεί ή δεν υπάρχουν διαθέσιμα στοιχεία πελατών","Nie zalogowany lub brak dostępnych informacji klienta","Ikke logget ind,  eller ikke kunde oplysninger","Ei kirjautunut tai ei asiakastietoja käytettävissä","Ikke logget inn,  eller ingen kundeinformasjon tilgjengelig","لم تقم بتسجيل الدخول، أو أي معلومات العملاء المتاحة","하지 않음 로그인,  또는 전혀 고객 정보를 사용할 수","ログインして、あるいは全く顧客情報は利用できません","אינך מחובר למערכת,  או כל מידע לקוח זמין","Inte inloggad,  eller ingen kundinformation tillgänglig","Nejste přihlášen,  nebo žádné informace o zákaznících k dispozici","Не вошли в систему,  или нет клиентские информации","Hindi naka-log in,   o walang magagamit na impormasyon sa customer","Dili Logged sa,  o dili customer impormasyon"
"Order does have a status that can't be canceled anymore","Order does have a status that can't be canceled anymore",91509,"Orden tiene un estado que no puede ser cancelado más","为了确实有一个状态，它不能再取消","Bestellen Sie hat einen Status,  der nicht mehr storniert werden können","Ordre a un statut qui ne peut plus être annulée","Ordine ha uno status che non può essere annullato più","Pedido tem um estado que não pode mais ser cancelado","Παραγγελία έχει μια κατάσταση που δεν μπορεί να ακυρωθεί πια","Zamówienie ma status,  który nie może być odwołany już","Bestil har en status,  der ikke kan annulleres længere","Tilaa ei ole asema,  jota ei voi peruuttaa enää","Bestill har en status som ikke kan avbestilles lenger","أجل لا يملك الحالة التي لا يمكن إلغاؤها بعد الآن","순서는 더 이상 취소 될 수없는 상태를 가지고","ご注文はもう取り消すことができませんステータスを持っています","להזמין עושה לי מצב שלא ניתן לבטל יותר","Order har en status som inte kan avbrytas längre","Řád má mít postavení,  které nelze zrušit již","Заказать имеет статус,  который не может быть отменен больше","Order ay magkaroon ng isang status na hindi maaaring kanselahin anymore","Order adunay usa ka kahimtang nga dili gikansela na"
