"en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb"
"Determines the Stats Period type to be used.","Bepaalt het Stats periode te gebruiken type.","Determina el tipo de estadísticas período que se utilizará.","确定要使用的统计周期类型。","Bestimmt die Statistik Periode Typ verwendet werden.","Détermine le type Stats Période à être utilisé.","Determina il tipo Statistiche Periodo da utilizzare.","Determina o tipo de Estatísticas período a ser utilizado.","Καθορίζει τον τύπο Στατιστικά Περίοδος που πρέπει να χρησιμοποιούνται.","Określa typ Statystyki Okres być użyte.","Bestemmer Stats Periode type, der skal anvendes.","Määrittelee Tilastot Aika käytettävää tyyppiä.","Bestemmer Stats periode typen som skal brukes.","يحدد نوع الإحصائيات الفترة لاستخدامها.","사용되는 통계 기간 유형을 결정합니다.","統計期間タイプを使用するかを決定します。","קובע את סוג תקופת סטטיסטיקת לשמש.","Bestämmer Statistik Period typ som skall användas.","Určuje typ statistiky Období, které mají být použity.","Определяет тип статистики Период, которые будут использоваться.","Tumutukoy sa uri Stats Period na gagamitin.","Motino sa matang Stats Period nga gamiton."
"Determines the status of the Comment in the Thread.","Bepaalt de status van de reactie in de discussie.","Determina el estado del comentario en el hilo.","确定螺纹中注释的状态。","Bestimmt den Status der Kommentar im Thread.","Détermine le statut de l'Observation de la discussion.","Determina lo stato del commento nel thread.","Determina o status do comentário no Thread.","Καθορίζει την κατάσταση του σχόλιο στο νήμα.","Określa status komentarza w wątku.","Bestemmer status Kommentar i tråden.","Päättää eläinten Kommentti Thread.","Bestemmer status for kommentar i tråden.","يحدد وضع تعليق في الموضوع.","스레드에서 주석의 상태를 결정합니다.","スレッド内のコメントのステータスを決定します。","הוא קובע את מעמדם של התגובה של האשכול.","Bestämmer statusen för kommentar i tråden.","Určuje stav komentář v závitu.","Определяет статус комментарий в тему.","Tinutukoy ang katayuan ng Komento sa Thread.","Motino sa kahimtang sa mga Comment sa Thread."
"Determines the status of the Forum.","Bepaalt de status van het forum.","Determina el estado del Foro.","确定论坛的地位。","Legt den Status des Forums.","Détermine le statut du Forum.","Determina lo stato del Forum.","Determina o status do Fórum.","Καθορίζει την κατάσταση του Φόρουμ.","Określa status Forum.","Bestemmer status af forummet.","Päättää eläinten foorumin.","Bestemmer statusen til Forum.","يحدد حالة من المنتدى.","포럼의 상태를 결정합니다.","フォーラムのステータスを決定します。","הוא קובע את מעמדם של הפורום.","Fastställer statusen hos forumet.","Určuje stav fóra.","Определяет статус Форума.","Tinutukoy ang katayuan ng Forum.","Motino sa kahimtang sa mga Forum."
"Determines the status of the ForumGroup.","Bepaalt de status van de ForumGroup.","Determina el estado de la ForumGroup.","确定ForumGroup的状态。","Bestimmt den Status des ForumGroup.","Détermine l'état de la ForumGroup.","Determina lo stato del ForumGroup.","Determina o status da ForumGroup.","Καθορίζει την κατάσταση της ForumGroup.","Określa stan ForumGroup.","Bestemmer status ForumGroup.","Päättää eläinten ForumGroup.","Bestemmer statusen til ForumGroup.","يحدد حالة من ForumGroup.","ForumGroup의 상태를 결정합니다.","ForumGroupのステータスを決定します。","הוא קובע את מעמדם של ForumGroup.","Bestämmer status ForumGroup.","Určuje stav ForumGroup.","Определяет статус ForumGroup.","Tinutukoy ang katayuan ng ForumGroup.","Motino sa kahimtang sa mga ForumGroup."
"Determines the status of the Thread.","Bepaalt de status van de Draad.","Determina el estado de la rosca.","确定线程的状态。","Bestimmt den Status des Thread.","Détermine l'état de la discussion.","Determina lo stato del filo.","Determina o estado do Thread.","Καθορίζει την κατάσταση του Θέματος.","Określa status wątku.","Bestemmer status Tråd.","Päättää eläinten Thread.","Bestemmer status for tråden.","يحدد حالة من الموضوع.","스레드의 상태를 결정합니다.","スレッドの状態を決定します。","הוא קובע את מעמדם של האשכול.","Fastställer statusen hos gängan.","Určuje stav závitu.","Определяет состояние резьбы.","Tinutukoy ang katayuan ng Thread.","Motino sa kahimtang sa mga Thread."
"Determines the type of comment added to the Invoice.","Bepaalt het type reactie toegevoegd aan de factuur.","Determina el tipo de comentario añadido a la factura.","确定注释添加到发票的类型。","Bestimmt die Art der Kommentar zu der Rechnung hinzugefügt.","Détermine le type de commentaire ajouté à la facture.","Determina il tipo di commento aggiunto alla fattura.","Determina o tipo de comentário adicionado à fatura.","Καθορίζει τον τύπο της σχόλιο προστίθεται στο Τιμολόγιο.","Określa rodzaj komentarza dodanego do faktury.","Bestemmer den type kommentar tilføjet til fakturaen.","Määrittelee, millaista kommentti lisätään lasku.","Bestemmer type kommentar lagt til faktura.","يحدد نوع من تعليق تضاف إلى الفاتورة.","송장에 추가 된 주석의 유형을 결정합니다.","請求書に追加されたコメントのタイプを決定します。","קובע את סוג התגובה מתווספת החשבונית.","Bestämmer vilken typ av kommentar läggs till fakturan.","Určuje typ přidán komentář k faktuře.","Определяет тип комментария добавлен в счете-фактуре.","Tumutukoy sa uri ng kumentaryo idinagdag sa Invoice.","Motino sa matang sa comment gidugang ngadto sa resibo."
"Determines the type of comment added to the Shipping.","Bepaalt het type reactie toegevoegd aan de Shipping.","Determina el tipo de comentario añadido al envío.","确定注释添加到航运的类型。","Bestimmt die Art der Kommentar zum Versand gegeben.","Détermine le type de commentaire ajouté à la livraison.","Determina il tipo di commento aggiunto alla spedizione.","Determina o tipo de comentário adicionado ao envio.","Καθορίζει τον τύπο της σχόλιο προστίθεται στην αποστολή.","Określa rodzaj komentarza dodanego do wysyłki.","Bestemmer den type kommentar tilføjet til Shipping.","Määrittelee, millaista kommentti lisätään toimituskulut.","Bestemmer type kommentar lagt til Shipping.","يحدد نوع من تعليق تضاف إلى شحن.","배송에 추가 된 주석의 유형을 결정합니다.","送料に追加されたコメントのタイプを決定します。","קובע את סוג התגובה מתווסף המשלוח.","Bestämmer vilken typ av kommentar läggs till Shipping.","Určuje typ přidán komentář k plavbě.","Определяет тип Комментарий добавлен к перевозке груза.","Tumutukoy sa uri ng kumentaryo idinagdag sa Shipping.","Motino sa matang sa comment gidugang ngadto sa Shipping."
"Determines the type of ExtraField to be applied.","Bepaalt het type ExtraField worden toegepast.","Determina el tipo de ExtraField a aplicar.","确定要被施加ExtraField的类型。","Bestimmt die Art der ExtraField angewendet werden.","Détermine le type de ExtraField à appliquer.","Determina il tipo di ExtraField da applicare.","Determina o tipo de ExtraField a ser aplicado.","Καθορίζει το είδος των ExtraField που πρέπει να εφαρμοστούν.","Określa typ ExtraField być stosowane.","Bestemmer typen af ​​ExtraField der skal anvendes.","Määrittää tyypin ExtraField voidaan soveltaa.","Bestemmer type Meg skal anvendes.","يحدد نوع ExtraField ليتم تطبيقها.","ExtraField의 ​​유형이 적용될 수를 결정한다.","適用するExtraFieldのタイプを決定します。","קובע את סוג ExtraField להיות מיושם.","Bestämmer vilken typ av ExtraField skall tillämpas.","Určuje typ ExtraField které mají být použity.","Определяет тип ExtraField быть применены.","Tumutukoy sa uri ng ExtraField na ilalapat.","Motino sa matang sa ExtraField nga apply."
"Determines the type of like to be applied.","Bepaalt het type om te worden toegepast.","Determina el tipo de como a aplicar.","确定要被施加的喜欢的类型。","Bestimmt die Art der dergleichen angewendet werden.","Détermine le type de comme à appliquer.","Determina il tipo di simile da applicare.","Determina o tipo de como deve ser aplicada.","Καθορίζει το είδος του σαν να εφαρμοστεί.","Określa typ jak mają być zastosowane.","Bestemmer typen af ​​lignende, der skal anvendes.","Määrittelee, millaista kuten on sovellettava.","Bestemmer hvilken type som skal brukes.","يحدد نوع من مثل ليتم تطبيقها.","등의 형식이 적용될 결정한다.","などのタイプを適用することを決定します。","קובע את סוג כמו להיות מיושם.","Bestämmer vilken typ av liknande skall tillämpas.","Určuje typ podobně, které mají být použity.","Определяет тип, как следует применять.","Tumutukoy sa uri ng tulad na ilalapat.","Motino sa matang sa sama nga apply."
"Determines the type of MessageBox to be applied.","Bepaalt het type MessageBox worden toegepast.","Determina el tipo de cuadro de mensaje que ha de aplicarse.","确定要被施加的MessageBox的类型。","Bestimmt die Art der Message angewendet werden.","Détermine le type de MessageBox à appliquer.","Determina il tipo di MessageBox da applicare.","Determina o tipo de MessageBox para ser aplicada.","Καθορίζει το είδος των MessageBox που πρέπει να εφαρμοστούν.","Określa typ MessageBox być stosowane.","Bestemmer typen af ​​MessageBox der skal anvendes.","Määrittää tyypin MessageBox voidaan soveltaa.","Bestemmer type messagebox skal anvendes.","يحدد نوع MESSAGEBOX ليتم تطبيقها.","메시지 박스의 유형이 적용될 결정한다.","適用されるメッセージボックスのタイプを決定します。","קובע את סוג MessageBox להיות מיושם.","Bestämmer vilken typ av MessageBox som ska tillämpas.","Určuje typ MessageBox které mají být použity.","Определяет тип MessageBox должен быть применен.","Tumutukoy sa uri ng MessageBox na ilalapat.","Motino sa matang sa MessageBox nga apply."
"Determines the type of pagination to be applied in the forum.","Bepaalt het type paginering in het forum toe te passen.","Determina el tipo de paginación para ser aplicado en el foro.","决定在论坛上被应用分页的类型。","Bestimmt die Art der Paginierung im Forum anzuwenden.","Détermine le type de pagination à appliquer dans le forum.","Determina il tipo di impaginazione da applicare nel forum.","Determina o tipo de paginação a serem aplicados no fórum.","Καθορίζει το είδος των σελιδοποίηση πρέπει να εφαρμόζονται στο φόρουμ.","Określa typ paginacji być stosowane na forum.","Bestemmer typen af ​​pagineringen, der skal anvendes i forummet.","Määrittelee, millaista sivunumerointi sovellettava foorumilla.","Bestemmer type paginering å bli brukt i forumet.","يحدد نوع ترقيم الصفحات ليتم تطبيقها في المنتدى.","페이징의 유형 포럼인가를 결정한다.","フォーラムで適用されるページネーションのタイプを決定します。","קובע את סוג העימוד להיות מיושם בפורום.","Bestämmer vilken typ av paginering skall tillämpas i forumet.","Určuje typ stránkování které mají být použity ve fóru.","Определяет тип нумерации страниц, которые должны применяться в форуме.","Tumutukoy sa uri ng pagbilang ng pahina upang maipataw sa forum.","Motino sa matang sa pagination nga magamit sa sa forum."
"Determines the type of permission table to be applied.","Bepaalt het type toestemming tafel te worden toegepast.","Determina el tipo de tabla de permiso que debe aplicarse.","确定要应用于权限表的类型。","Bestimmt die Art der Genehmigung Tabelle angewendet werden.","Détermine le type de table de l'autorisation d'être appliquée.","Determina il tipo di tabella di autorizzazione da applicare.","Determina o tipo de tabela de autorização para ser aplicada.","Καθορίζει το είδος του πίνακα άδεια για να εφαρμοστεί.","Określa typ tabeli zezwolenia mają być zastosowane.","Bestemmer typen af ​​tilladelse tabellen der skal anvendes.","Määrittelee, millaista lupaa taulukon sovellettava.","Bestemmer hvilken type tillatelse bordet for å bli brukt.","يحدد نوع الجدول إذن ليتم تطبيقها.","허용 테이블의 종류가 적용될 결정한다.","許可テーブルのタイプを適用することを決定します。","קובע את סוג שולחן הרשות להיות מיושם.","Bestämmer vilken typ av tillstånd tabell som ska tillämpas.","Určuje typ oprávnění tabulky, které mají být použity.","Определяет тип таблицы разрешений, которые должны применяться.","Tumutukoy sa uri ng pahintulot talahanayan na ilalapat.","Motino sa matang sa pagtugot lamesa nga apply."
"Determins the container where extra field will be applied to.","Determins de container waar de extra veld zal worden toegepast.","Determins el contenedor en el campo adicional se aplicará a.","Determins那里额外字段将被应用到容器上。","Determins den Container, in dem zusätzliches Feld angewendet werden soll.","Décrit que le conteneur dans lequel champ supplémentaire sera appliqué.","Ne determina il contenitore dove campo aggiuntivo verrà applicato.","Determins o recipiente onde o campo extra será aplicada.","Determins το κοντέινερ όπου επιπλέον πεδίο θα εφαρμοστεί.","Determins kontener, w którym dodatkowe pole zostaną ustawione.","Afgør, containeren, hvor ekstra felt vil blive anvendt til.","Determins säiliö, jossa ylimääräinen kenttä aletaan soveltaa.","Determins beholderen hvor ekstra felt vil bli brukt til.","Determins الحاوية حيث سيتم تطبيق حقل إضافي ل.","추가 필드에 적용되는 용기 Determins.","余分なフィールドが適用されるコンテナがDetermins。","Determins בתוך כלי תוספת שדה יוחל.","Anger tryck behållaren där extra fält kommer att tillämpas på.","Determins kontejneru, kde bude navíc pole aplikované.","Determins контейнер, в котором дополнительное поле будет применяться к.","Determins sa lalagyang pinagbabaran dagdag field ay ilalapat sa.","Determins sa sudlanan diin ang dugang nga uma nga apply ngadto sa."
"Layout options for the content page.","Lay-out opties voor de inhoud pagina.","Opciones de diseño para la página de contenido.","对于内容页面布局选项。","Layout-Optionen für die Content-Seite.","Les options de disposition pour la page de contenu.","Opzioni di layout per la pagina di contenuto.","Opções de layout para a página de conteúdo.","Διάταξη επιλογές για το περιεχόμενο της σελίδας.","Układ opcje dla zawartości strony.","Layoutindstillinger for indholdssiden.","Asetteluvaihtoehdot sisältöä sivun.","Oppsettalternativer for innholdssiden.","خيارات التخطيط لمحتوى الصفحة.","콘텐츠 페이지의 레이아웃 옵션을 제공합니다.","コンテンツページのレイアウトオプション。","אפשרויות פריסה עבור לתוכן העמוד.","Layoutalternativ för innehållssidan.","Možnosti rozvržení pro obsahové stránce.","Макет варианты содержания страницы.","Layout pagpipilian para sa nilalaman ng pahina.","Layout mga kapilian alang sa mga panid sulod."
"Provides an option of the view mode of the product list.","Biedt een optie van de stand van de lijst product uitzicht.","Proporciona una opción del modo de visualización de la lista de productos.","提供产品列表的视图模式的选项。","Bietet eine Möglichkeit, den Ansichtsmodus der Produktliste.","Fournit une option du mode de la liste des produits de la vue.","Fornisce un'opzione della modalità di visualizzazione della lista dei prodotti.","Fornece uma opção do modo de visualização da lista de produtos.","Παρέχει μια επιλογή του τρόπου προβολή της λίστας προϊόντος.","Zapewnia odpowiednią opcję w trybie widoku listy produktów.","Giver en mulighed for visningstilstand produktlisten.","Antaa mahdollisuus katselutilassa tuotteen luettelon.","Gir en mulighet til visningsmodus av produktlisten.","يوفر خيار وضع بالنظر إلى قائمة المنتجات.","제품 목록의보기 모드의 옵션을 제공합니다.","製品リストの表示モードのオプションを提供します。","מספק אופציה של מצב התצוגה של רשימת מוצרים.","Ger en möjlighet att visningsläget av produktlistan.","Poskytuje možnost režimu zobrazení seznamu výrobků.","Предоставляет возможность в режиме просмотра списка продукции.","Ay nagbibigay ng isang opsyon ng view mode ng listahan ng produkto.","Naghatag og usa ka kapilian sa panglantaw nga paagi sa sa listahan produkto."
"Redirection type indicates the behaviour of the redirection.","Redirection type geeft het gedrag van de omleiding.","Tipo de redirección indica el comportamiento de la redirección.","重定向类型指示重定向的行为。","Umleitungstyp zeigt das Verhalten der Umleitung.","type de redirection indique le comportement de la redirection.","Tipo di reindirizzamento indica il comportamento del reindirizzamento.","Tipo de redirecionamento indica o comportamento do redirecionamento.","Τύπος ανακατεύθυνσης δείχνει τη συμπεριφορά της ανακατεύθυνσης.","Typ Przekierowanie wskazuje zachowanie przekierowania.","Omdirigering type angiver adfærd omdirigering.","Uudelleenohjaus tyyppi osoittaa käyttäytymistä uudelleenohjaus.","Omdirigering typen viser oppførselen til omdirigering.","نوع التوجيه يشير إلى سلوك إعادة توجيه.","리디렉션 유형은 리디렉션의 동작을 나타냅니다.","リダイレクトタイプリダイレクトの挙動を示しています。","סוג ניתוב מחדש מציין את ההתנהגות של ניתוב מחדש.","Omdirigering typ anger beteende omdirigering.","Typ přesměrování označuje chování přesměrování.","Тип Перенаправление указывает поведение перенаправления.","Redirection type ay nagpapahiwatig ng pag-uugali ng pag-redirect.","Redirection matang nagpakita sa kinaiya sa redirection."
"The types of display modes determine what contents are displayed on the category page.","De aard van de display modes bepalen welke inhoud wordt weergegeven op de categorie pagina.","Los tipos de modos de visualización determinan qué contenidos se muestran en la página de la categoría.","该类型的显示模式决定内容显示在类别页面上的内容。","Die Arten von Anzeigebetriebsarten bestimmen, welche Inhalte auf der Kategorieseite angezeigt werden.","Les types de modes d'affichage déterminer quels contenus sont affichés sur la page de catégorie.","I tipi di modalità di visualizzazione determinano quali contenuti vengono visualizzati nella pagina di categoria.","Os tipos de modos de exibição determinar quais conteúdos são exibidos na página da categoria.","Τα είδη των τρόπων προβολής καθορίσει τι είναι το περιεχόμενο που εμφανίζεται στην σελίδα της κατηγορίας.","Rodzaje trybów wyświetlania określić, jakie treści są wyświetlane na stronie kategorii.","De typer af display modes bestemme, hvad indholdet vises på kategori siden.","Tyypit näyttötiloja mitkä sisällöt näytetään luokkasivun.","De typer visningsmoduser bestemme hva innholdet vises på kategorisiden.","أنواع من أوضاع العرض تحدد ما يتم عرض المحتويات على صفحة الفئة.","표시 모드의 종류는 콘텐츠 카테고리 페이지에 표시하는지 결정한다.","表示モードの種類は内容がカテゴリページに表示されているかを決定。","סוגי מצבי תצוגה לקבוע מה התוכן מוצגים בדף הקטגוריה.","De typer av visningslägen bestämma vad innehållet visas på kategorisidan.","Typy režimů zobrazení určit, jaký obsah se zobrazí na stránce kategorii.","Типы режимов отображения определить, что содержимое отображается на странице категории.","Ang mga uri ng display mode matukoy kung ano ang mga nilalaman ay ipinapakita sa pahina ng kategorya.","Ang mga matang sa display paagi sa pagtino kon unsa ang sulod nga gipakita sa panid kategoriya."
