"key","en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb"
"Displays the most viewed products.","Displays the most viewed products.","Toont de meest bekeken producten.","Muestra los productos más vistos.","显示观看次数最多的产品。","Zeigt die meisten angeschauten Produkte.","Affiche les produits les plus consultés.","Consente di visualizzare i prodotti più visti.","Apresenta os mais visitados.","Εμφανίζει τα πιο εμφανισμένα προϊόντα.","Wyświetla najczęściej oglądane produkty.","Viser de mest viste produkter.","Näyttää eniten katsottua tuotetta.","Viser de mest viste produkter.","يعرض المنتجات الأكثر مشاهدة.","가장 많이 본 제품을 표시합니다.","最も見られた製品を表示します。","מציג את המוצרים הנצפים ביותר.","Visar de mest visade produkter.","Zobrazuje nejvíce zobrazované produkty.","Отображает наиболее популярные продукты.","Ipinapakita ang pinaka-pinapanood na mga produkto.","Nagpasundayag sa ang labing gitan-aw nga mga produkto."
"Displays the new products.","Displays the new products.","Geeft de nieuwe producten.","Muestra los nuevos productos.","显示新产品。","Zeigt die neuen Produkte.","Affiche les nouveaux produits.","Visualizza i nuovi prodotti.","Exibe os novos produtos.","Εμφανίζει τα νέα προϊόντα.","Wyświetla nowe produkty.","Viser de nye produkter.","Näyttää uusia tuotteita.","Viser de nye produktene.","يعرض منتجات جديدة.","새로운 제품을 표시합니다.","新製品を表示します。","מציג את המוצרים החדשים.","Visar de nya produkterna.","Zobrazí nových produktů.","Отображение новых продуктов.","Ipinapakita ang mga bagong produkto.","Nagpasundayag sa sa bag-ong mga produkto."
"Displays the product item including blocks that gives additional information about the product.","Displays the product item including blocks that gives additional information about the product.","Geeft het product met vermelding van blokken die bijkomende informatie over het product geeft.","Muestra el elemento del producto incluidos los tacos que da información adicional sobre el producto.","显示产品项目，包括街区，提供有关该产品的更多信息。","Zeigt den Produkteinzelteil einschließlich Blöcke, die zusätzliche Informationen über das Produkt gibt.","Affiche l'élément de produit, y compris les blocs qui donne des informations supplémentaires sur le produit.","Consente di visualizzare la voce di prodotto compresi i blocchi che danno informazioni aggiuntive sul prodotto.","Exibe o item de produtos, incluindo blocos que dá informações adicionais sobre o produto.","Εμφανίζει το στοιχείο του προϊόντος περιλαμβάνονται και τα μπλοκ που δίνει πρόσθετες πληροφορίες σχετικά με το προϊόν.","Wyświetla pozycję produktów, w tym bloków, które daje dodatkowe informacje na temat produktu.","Viser produktet element, herunder blokke, der giver yderligere oplysninger om produktet.","Näyttää tuote erä lukien lohkoja, joka antaa lisätietoja tuotteesta.","Viser produkt element inkludert blokker som gir mer informasjon om produktet.","يعرض هذا البند المنتجات بما في ذلك الكتل التي تعطي معلومات إضافية حول المنتج.","제품에 대한 자세한 정보를 제공 블록 등 제품 항목을 표시합니다.","製品に関する追加情報を提供するブロックを含む製品のアイテムを表示します。","מציג את פריט המוצר לרבות בלוקים שנותן מידע נוסף על המוצר.","Visar produktartikeln, inbegripet block som ger ytterligare information om produkten.","Zobrazí položku produktu, včetně bloků, které dává další informace o produktu.","Отображает элемент продукции, включая блоков, что дает дополнительную информацию о продукте.","Ipinapakita ang mga item ng produkto kasama ang mga bloke na nagbibigay ng karagdagang impormasyon tungkol sa produkto.","Nagpasundayag sa mga produkto nga butang lakip na ang mga bloke nga naghatag dugang nga impormasyon mahitungod sa produkto."
"Displays the products included in the customer’s wishlists.","Displays the products included in the customer’s wishlists.","Geeft de producten die zijn opgenomen in een zoeklijst van de klant.","Muestra los productos incluidos en listas de regalo del cliente.","显示包含在客户的心愿的产品。","Zeigt die in der Kundenwunschlisten enthalten Produkte.","Affiche les produits inclus dans les listes du client.","Visualizza i prodotti inclusi nella liste dei desideri del cliente.","Exibe os produtos incluídos na lista de desejos do cliente.","Εμφανίζει τα προϊόντα που περιλαμβάνονται στην λίστες επιθυμιών του πελάτη.","Wyświetla Listy ĹĽyczeĹ produktów wprowadzonych klienta.","Viser de produkter, der indgår i kundens ønskelister.","Näyttää kuuluvat tuotteet asiakkaan toivelista.","Viser produkter som inngår i kundens ønskelister.","يعرض المنتجات المدرجة في قوائم الأماني الزبون.","고객의 위시리스트에 포함 된 제품을 표시합니다.","お客様のウィッシュリストに含まれる製品を表示します。","מציג את המוצרים כלולים ברשימת המשאלות של הלקוח.","Visar de produkter som ingår i kundens önskelistor.","Zobrazí produkty zahrnuté do nákupních seznamů zákazníka.","Отображает продукты, включенные в Вишлисты заказчика.","Ipinapakita ang mga produkto na kasama sa wishlists ng customer.","Nagpasundayag sa mga produkto nga gilakip sa customer sa wishlists."
"Displays the recently viewed products.","Displays the recently viewed products.","Geeft het laatst bekeken producten.","Muestra los productos vistos.","显示最近浏览过的产品。","Zeigt die zuletzt angesehenen Produkte.","Affiche les produits récemment consultés.","Consente di visualizzare i prodotti visti di recente.","Exibe os produtos exibidos recentemente.","Εμφανίζει τα στοιχεία που προβλήθηκαν πρόσφατα προϊόντα.","Wyświetla Ostatnio oglądane produkty.","Viser de nyligt viste produkter.","Näyttää Viimeksi katsotut tuotteet.","Viser nylig viste produkter.","يعرض المنتجات التي تم عرضها مؤخرا.","최근에 본 제품을 표시합니다.","最近表示した製品を表示します。","מציג את המוצרים שהוצגו לאחרונה.","Visar nyligen visade produkterna.","Zobrazí naposledy zobrazené produkty.","Отображение недавно просмотренных товаров.","Ipinapakita ang mga kamakailan-lamang na tiningnan ng mga produkto.","Nagpasundayag sa mga bag-o lang gitan-aw nga mga produkto."
"Displays the replacer found.","Displays the replacer found.","Geeft de vervanger gevonden.","Muestra el sustituto encontrado.","显示找到的替代品。","Zeigt den Ersatzstoff gefunden.","Affiche le substitut trouvé.","Visualizza il sostituto trovato.","Exibe o substituto encontrado.","Εμφανίζει το υποκατάστατο βρέθηκε.","Wyświetla substytutu znaleźć.","Viser mælkeerstatning fundet.","Näyttää korvike löytynyt.","Viser erstatteren funnet.","يعرض بديل وجدت.","발견 된 대체물을 표시합니다.","見つかった代替品が表示されます。","מציג את תחליף מצא.","Visar replacer hittades.","Zobrazí náhražky nalezena.","Отображает заменитель найдено.","Ipinapakita ang replacer natagpuan.","Nagpasundayag sa sa replacer hingkaplagan."
"Displays the specific product review of the customer.","Displays the specific product review of the customer.","Geeft het specifieke product herziening van de klant.","Muestra la revisión del producto específico del cliente.","显示客户的特定产品的审查。","Zeigt die spezifischen Artikelbewertung des Kunden.","Affiche de l'examen d'un produit spécifique du client.","Visualizza la revisione prodotto specifico del cliente.","Exibe a revisão específica do cliente do produto.","Εμφανίζει τη συγκεκριμένη εξέταση προϊόν του πελάτη.","Wyświetla specyficzną recenzję produktu klienta.","Viser det specifikke produkt gennemgang af kunden.","Näyttää tietyn tuotteen tarkastelu asiakkaan.","Viser spesifikt produkt gjennomgang av kunden.","يعرض استعراض منتج معين من العملاء.","고객의 특정 제품 리뷰를 표시합니다.","顧客の特​​定の製品のレビューを表示します。","מציג סקירת המוצר הספציפית של הלקוח.","Visar den specifika produkten översyn av kunden.","Zobrazuje zvláštní přezkum produktu zákazníka.","Отображает конкретный обзор продукта заказчика.","Ipinapakita ang mga tiyak na produkto repasuhin ng mga customer.","Nagpasundayag sa mga piho nga mga produkto review sa mga customer."
"displays the specific survey group","displays the specific survey group","geeft de specifieke onderzoeksgroep","muestra el grupo de estudio específico","显示具体调查组","werden die speziellen Untersuchungsgruppe","affiche le groupe d'enquête spécifique","visualizza il gruppo di indagine specifica","exibe o grupo de pesquisa específica","εμφανίζει την συγκεκριμένη ομάδα έρευνας","wyświetla określoną grupę ankieta","viser den specifikke syn gruppen","näyttää erityisen tutkimuksen ryhmä","viser den spesifikke undersøkelsen gruppen","يعرض مجموعة محددة للمسح","구체적인 조사기를 표시","具体的な調査グループが表示されます","מציג את קבוצת הסקר הספציפית","visar den särskilda undersökningsgruppen","zobrazí konkrétní skupinu průzkum","отображает специальное обследование группы","nagpapakita ng mga partikular na grupo survey","nagpasundayag sa piho nga survey nga grupo"
"Displays this text “Successfully Logout ”You are successfully logged out.","Displays this text “Successfully Logout ”You are successfully logged out.","Geeft deze tekst Succesvol Afmelden U bent succesvol uitgelogd.","Muestra este texto con éxito Salir Usted se registran a cabo con éxito.","显示该文字“成功登出”您已成功注销。","Zeigt dieser Text Erfolgreich Logout Sie sind erfolgreich abgemeldet.","Affiche ce texte Déconnexion succès vous êtes connecté avec succès.","Visualizza il testo Logout con successo si è connessi con successo.","Exibe este texto com sucesso Sair Você está conectado com sucesso.","Εμφανίζει το κείμενο αυτό «Επιτυχής Έξοδος Έχετε αποσυνδεθεί επιτυχώς.","Wyświetla tekst Pomyślnie Wyloguj Jesteś pomyślnym zalogowaniu się.","Viser denne tekst Succesfuld Logout Du logget ud.","Näyttää tämä teksti Onnistuneesti Kirjaudu ulos Olet kirjautunut ulos.","Viser denne teksten Vellykket Logout Du er nå logget ut.","يعرض هذا النص الخروج بنجاح تم تسجيل دخولك بنجاح.","이 텍스트는 성공적으로 로그 아웃을 표시 성공적으로 로그 아웃됩니다.","このテキストは「成功しましログアウト」を表示あなたは、正常にログアウトされます。","מציג את הטקסט הזה בהצלחה ההתנתקות אתה מחובר בהצלחה.","Visar den här texten Framgångsrikt Logga ut Du har loggat ut.","Zobrazí tento text Úspěšně logout Ty úspěšně odhlášeni.","Отображает этот текст Успешно Выход Вы успешно вышли.","Nagpapakita ang tekstong Matagumpay Logout Ikaw ay matagumpay na naka-log-out.","Pagpasundayag niini nga teksto Malampuson Logout Ikaw malampuson Logged sa gawas."
"displays this text “The page you are looking for (no longer) exists.” if the cms indentifier is not visible on that storeview. ","displays this text “The page you are looking for (no longer) exists.” if the cms indentifier is not visible on that storeview. ","geeft deze tekst De pagina die u zoekt niet (meer) bestaat. als de cms identifier is niet zichtbaar op dat Storeview.","muestra este texto La página que estás buscando (ya) no existe. si los cms indentifier no es visible en ese storeview.","显示此文字“您正在寻找（不再）存在的页面：”如果indentifier不上storeview可见厘米。","Anzeigen dieser Text Die von Ihnen gesuchte Seite nicht (mehr) vorhanden ist. suchen, wenn der CMS indentifier ist nicht auf dieser Storeview sichtbar.","affiche ce texte La page que vous cherchez (plus) existe. si les cms indentifier est pas visible sur cette Storeview.","visualizza il testo La pagina che stai cercando (non più) esiste. se il cms identificatore non è visibile su quel storeview.","exibe este texto A página que você está procurando (não) existe. Se os cms identificadores não é visível no que storeview.","εμφανίζει αυτό το κείμενο Η σελίδα που ψάχνετε (πλέον) υπάρχει. αν το CMS indentifier δεν είναι ορατό σε αυτό το storeview.","wyświetla ten tekst Strona, której szukasz (nie) istnieje. Jeśli cms identyfikatorem nie jest widoczny na tym storeview.","viser denne tekst Den side, du leder efter (ikke længere) eksisterer., hvis de cms Identifier ikke er synlige på det storeview.","näyttää tämä teksti sivulla etsit (ei enää) olemassa. jos CMS tunnistukseen ei näy, että storeview.","viser denne teksten Siden du leter etter (ikke lenger) eksisterer. hvis cms indentifier er ikke synlig på at storeview.","يعرض هذا النص الصفحة كنت تبحث عن (لم يعد) موجود. إذا سم عيارة غير مرئية على أن storeview.","표시이 텍스트 당신이 (더 이상) 존재하지 않습니다. 찾고있는 페이지그 storeview에 표시되지 indentifier CMS 경우.","このテキストは、「あなたは（もはや）を探しているページは存在しています。」と表示そのstoreviewに表示されないindentifier CMS場合。","מציג את הטקסט הזה הדף שאתה מחפש (כבר לא) קיים. אם CMS indentifier אינו גלוי על storeview ש.","visar den här texten Sidan du söker (inte längre) finns. om cms identifieringsmärke är inte synlig på den storeview.","zobrazí tento text Stránka, kterou hledáte (již) neexistuje. V případě, že CMS indentifier není vidět na tomto storeview.","отображает этот текст Страница, которую вы ищете (больше нет) не существует., если СЦМ Indentifier не видно на этом storeview.","nagpapakita ang tekstong Ang pahina na iyong hinahanap para sa (hindi na) na umiiral na. kung ang CMS indentifier ay hindi makikita sa na storeview.","pagpasundayag niini nga teksto Ang panid imong gipangita (dili na) anaa. kon ang mga CMS indentifier mao ang dili makita nga storeview."
"displays this text “You have no right to access this page” if the survey cant be accessed. ","displays this text “You have no right to access this page” if the survey cant be accessed. ","geeft deze tekst Je hebt geen recht om toegang tot deze pagina, indien het onderzoek niet kan worden geopend.","muestra este texto Usted no tiene derecho a acceder a esta página si no puedo acceder a la encuesta.","显示该文字“你没有访问此页面右侧”如果调查不能被访问。","Anzeigen dieser Text Sie haben kein Recht, diese Seite zu betreten, wenn die Umfrage kann nicht zugegriffen werden.","affiche ce texte Vous ont pas le droit d'accéder à cette page si l'enquête ne peut pas être consulté.","visualizza il testo non hai il diritto di accedere a questa pagina se non posso essere letta l'indagine.","exibe este texto Você não tem direito de acessar a página se o inquérito não pode ser acessado.","εμφανίζει αυτό το κείμενο Δεν έχετε δικαίωμα πρόσβασης σε αυτή τη σελίδα, αν επίκλισης να προσεγγιστεί η έρευνα.","wyświetla ten tekst Nie masz prawa dostępu do tej strony, jeśli mogę być dostępne badania.","viser denne tekst Du har ingen ret til at få adgang til denne side hvis undersøgelsen ikke kan tilgås.","näyttää tämä teksti Sinulla ei ole oikeutta käyttää tätä sivua, jos tutkimus kallistuksen käsiksi.","viser denne teksten Du har ingen rett til å få tilgang til denne siden hvis undersøkelsen ikke kan nås.","يعرض هذا النص لا يوجد لديك حق الوصول إلى هذه الصفحة إذا غير قادر على الوصول إلى المسح.","디스플레이는이 텍스트 설문 조사에 액세스 할 수 없습니다 싶은 당신은이 페이지에 액세스 할 권리가 없습니다.","調査にアクセスするカント場合は表示され、このテキストは、「このページにアクセスする権利はありません」。","הטקסט הזה אין לך זכות לגשת לדף זה מציג אם הסקר לא יכול לגשת.","visar den här texten Du har ingen rätt att få tillgång till den här sidan om undersökningen inte kan nås.","zobrazí tento text Nemáte žádné právo na přístup na tuto stránku, pokud se nedá přistupovat průzkum.","отображает этот текст Вы не имеете права на доступ к этой странице, если опрос не могу получить доступ.","nagpapakita ang tekstong Wala kang karapatan upang ma-access ang pahinang ito kung ang survey nakahilig ma-access.","pagpasundayag kini nga teksto Ikaw walay katungod sa pag-access niini nga pahina kon ang survey cant makuha."
